user_id,set_group_dt,group,item,has_gold,price,purchase_date,platform
usr_1,2024-06-20 1:29:18,0,timed_6_1,0,0.99,9/1/2024,Android
usr_2,2024-07-04 13:30:14,0,gem_sub_1,0,2.99,9/1/2024,Android
usr_3,2024-08-13 11:16:08,1,timed_6_1,0,0.99,9/1/2024,Android
usr_4,2024-08-05 13:38:11,1,timed_6_1,0,0.99,9/1/2024,Android
usr_5,2024-08-13 16:43:28,0,prog_a_100_1,0,39.99,9/1/2024,Android
usr_6,2024-08-13 7:27:54,0,gem_2,0,9.99,9/1/2024,Android
usr_7,2024-06-20 0:46:21,0,gem_1,0,4.99,9/1/2024,Android
usr_8,2024-08-05 20:50:10,1,timed_6_3,0,29.99,9/1/2024,Android
usr_9,2024-08-13 9:04:25,0,timed_6_1,0,0.99,9/1/2024,Android
usr_10,2024-08-05 13:16:39,0,gem_2,0,9.99,9/1/2024,Android
usr_11,2024-06-20 4:47:48,1,gem_sub_1,0,2.99,9/1/2024,Android
usr_12,2024-08-05 11:44:04,0,timed_6_1,0,0.99,9/1/2024,Android
usr_13,2024-08-05 6:13:07,1,gem_sub_1,0,2.99,9/1/2024,Android
usr_14,2024-06-20 1:19:15,1,gold_resub,1,9.99,9/1/2024,Android
usr_15,2024-05-30 12:57:48,0,timed_6_1,0,0.99,9/1/2024,Android
usr_16,2024-08-05 11:55:08,1,gem_sub_1,0,2.99,9/1/2024,Android
usr_17,2024-08-13 7:40:51,0,timed_6_1,0,0.99,9/1/2024,Android
usr_18,2024-05-30 23:57:47,0,timed_6_1,0,0.99,9/1/2024,Android
usr_19,2024-06-20 1:32:42,0,gem_sub_1,0,2.99,9/1/2024,Android
usr_20,2024-08-13 12:44:08,1,gem_2,0,9.99,9/1/2024,Android
usr_21,2024-06-20 17:00:10,0,timed_6_1,0,0.99,9/1/2024,Android
usr_22,2024-08-05 17:08:00,1,timed_6_2,1,9.99,9/1/2024,Android
usr_23,2024-08-05 11:12:38,0,gem_sub_1,0,2.99,9/1/2024,Android
usr_24,2024-08-13 11:20:41,1,timed_6_1,0,0.99,8/31/2024,Android
usr_25,2024-08-13 16:28:06,1,timed_6_2,1,9.99,8/31/2024,Android
usr_25,2024-08-13 16:28:06,1,timed_6_1,0,0.99,8/31/2024,Android
usr_3,2024-08-13 11:16:08,1,timed_6_2,1,9.99,8/31/2024,Android
usr_26,2024-08-13 8:00:37,1,gem_sub_1,0,2.99,8/31/2024,Android
usr_27,2024-08-05 8:21:16,1,timed_6_1,0,0.99,8/31/2024,Android
usr_28,2024-08-13 11:25:38,1,timed_6_1,0,0.99,8/31/2024,Android
usr_29,2024-08-13 12:00:01,0,timed_6_1,0,0.99,8/31/2024,Android
usr_8,2024-08-05 20:50:10,1,timed_6_1,0,0.99,8/31/2024,Android
usr_8,2024-08-05 20:50:10,1,timed_6_2,1,9.99,8/31/2024,Android
usr_8,2024-08-05 20:50:10,1,gem_2,0,9.99,8/31/2024,Android
usr_30,2024-08-05 12:02:36,0,timed_6_1,0,0.99,8/31/2024,Android
usr_31,2024-08-05 13:50:25,1,prog_a_74,1,44.99,8/31/2024,Android
usr_31,2024-08-05 13:50:25,1,timed_6_2,1,9.99,8/31/2024,Android
usr_31,2024-08-05 13:50:25,1,timed_6_3,0,29.99,8/31/2024,Android
usr_32,2024-08-14 6:20:48,1,timed_6_1,0,0.99,8/31/2024,iOS
usr_33,2024-06-20 1:13:48,1,timed_6_1,0,0.99,8/31/2024,Android
usr_34,2024-08-13 14:13:29,1,timed_6_1,0,0.99,8/31/2024,Android
usr_35,2024-08-13 21:03:11,1,timed_6_1,0,0.99,8/31/2024,Android
usr_12,2024-08-05 11:44:04,0,timed_6_1,0,0.99,8/31/2024,Android
usr_36,2024-08-05 9:28:09,0,gem_sub_1,0,2.99,8/31/2024,Android
usr_17,2024-08-13 7:40:51,0,timed_6_1,0,0.99,8/31/2024,Android
usr_37,2024-08-05 11:42:33,0,gem_sub_1,0,2.99,8/31/2024,Android
usr_38,2024-08-13 7:27:17,0,gem_sub_1,0,2.99,8/31/2024,Android
usr_38,2024-08-13 7:27:17,0,timed_6_2,1,9.99,8/31/2024,Android
